[08/07/2020|01:44:31] Santiago_Sanchez (insultar staff): 4945DECED9CAE99DC5E9449E00898D8DCEAD5CD4
[08/07/2020|20:10:42] Gabriel_David (BA /dormir ): CE09E8EDEF49EE8EFA980C4DDC0EC9AE98CA0D98
[08/07/2020|21:37:43] Reptiliano_Loko (Troll): EEACC9DA0D4E9E5EEFEF55C890489095090DD8AF
[09/07/2020|00:42:33] Zurdo_Castano (Cheater (aimbot)): CAA48E08DEC044E5FE90F9F89AA99FC4CDEDFAE
[09/07/2020|00:48:39] Jaseh_Dwayne (MNP (autoreporte)): 995E5CD8CADCD88FCAE89EDCACA00DADDC4E49C4
[09/07/2020|04:45:01] Jose_Bolla (Uso Silent Aim.): 89C5088A9898D55804CA4899D4FD9D09E5DCC990
[09/07/2020|19:24:23] Soriel_Tocamelo (Hacerse pasar por Administrador): 4945DECED9CAE99DC5E9449E00898D8DCEAD5CD4
[11/07/2020|02:10:15] Jhonathan_Sanchez (Multi cuentas, ya estabas baneado.): 4945DECED9CAE99DC5E9449E00898D8DCEAD5CD4
[11/07/2020|03:22:16] Faustiny_Sanchez (deja de hacerte multicuentas): 4945DECED9CAE99DC5E9449E00898D8DCEAD5CD4
[11/07/2020|03:28:38] Faustiny_Sanch (deja de crearte cuentas): 4945DECED9CAE99DC5E9449E00898D8DCEAD5CD4
[11/07/2020|03:38:39] Brian_Rechi (Uso de AIMBOT.): CFCEAEE5CE94DAC4ADD5DEC8D8C88C5EC5E5C8ED
[11/07/2020|21:13:56] Lorenzo_Bascur (insultar staff): CFCEAEE5CE94DAC4ADD5DEC8D8C88C5EC5E5C8ED
[12/07/2020|01:09:45] Pablo_Gomez (Tóxico): EEACC9DA0D4E9E5EEFEF55C890489095090DD8AF
[12/07/2020|03:29:02] Rodolfo_Azul (insultar staff): 995E5CD8CADCD88FCAE89EDCACA00DADDC4E49C4
[13/07/2020|03:11:26] Claudio_Guzman (MNP): 989A9C9E84EC5CDEA905A9DC9D884A959EDE49D
[13/07/2020|03:58:45] Kevin_Alcaparra (Uso de MNP + WallHack): 588DFDDFAE009E544AE88489AD40E5CA89E45FEA
[13/07/2020|06:31:02] Momashin_Ortiz (Spam de otro server): EEACC9DA0D4E9E5EEFEF55C890489095090DD8AF
[13/07/2020|07:16:50] Damian_Escobar (Insultar staff): CE99C8589FD8F40FE8EE980940C8C5A44D899DEC
[13/07/2020|21:34:04] Aiyden_Jackson (No te hagas multicuentas, espera que termine el ban): D49C90F445A8D9C499E8FA4C448008E9FCAE405E
[13/07/2020|21:39:11] Jhon_Mohon (chau): 54C44949E0F8EEE09AE908ED958CD89999CEACF8
[13/07/2020|21:40:19] Santiago_Matias (chau): E450CE9549ECA4D8CE0A909549D94DCFD8D4C494
[13/07/2020|21:42:04] Franklin_Martinez (Hack nofuel): C98E45049AFEF000ADED9A4C4DE458D4A00E8E4C
[14/07/2020|21:03:14] Rodolfo_Golfo (fly): EA448EE4C49F44E500EA40E98D894844EC8548CA
[14/07/2020|23:11:37] Salvatore_Maranzano (CK2): EEACC9DA0D4E9E5EEFEF55C890489095090DD8AF
[15/07/2020|09:50:28] Josh_Mercury (Uso de hacks, a casa y con el culo adentro, pajero): 598899C545A4C09848C908DF50F09D98D4848498
[15/07/2020|19:35:57] Tony_Rechi (Uso de Aimbot+Multicuenta Brian Rechi.): CFCEAEE5CE94DAC4ADD5DEC8D8C88C5EC5E5C8ED
[15/07/2020|20:04:14] Roman_Olivera (Uso de Aimbot): CA99540A45AFDCA4A58EE0C9D9AFADED9C8DACA9
[16/07/2020|05:10:53] Jorge_Larrata (cheater, chau chau): 44585E4AA95894C9D8AD9DD889A4990ACCD8008C
[16/07/2020|05:17:14] Alejo_Coco (insultar): EEACC9DA0D4E9E5EEFEF55C890489095090DD8AF
[16/07/2020|05:22:39] Sofia_Bustos (spam): 44585E4AA95894C9D8AD9DD889A4990ACCD8008C
[16/07/2020|19:58:34] Sebastian_Melgarejo (Nofuel hack): AAE9CEDFE984D908CDF0AD8D55448ACE98CE4550
[16/07/2020|21:47:54] Jorge_Larrua (cheats,pg,dm,nre,speedhack): 44585E4AA95894C9D8AD9DD889A4990ACCD8008C
[16/07/2020|22:18:10] Matias_Medinaa (troll): 44585E4AA95894C9D8AD9DD889A4990ACCD8008C
[16/07/2020|22:38:25] Kevin_Alcapurga (Cheater): 44585E4AA95894C9D8AD9DD889A4990ACCD8008C
[17/07/2020|17:48:47] Drey_Rojas (BA+DM): D8ED9EC44C9948C85F5CE058D40884588580D48D
[17/07/2020|20:26:05] Gustavo_Rechi (Cheater.): EEACC9DA0D4E9E5EEFEF55C890489095090DD8AF
[18/07/2020|03:12:20] Facu_Yafar (Aimbot): 44585E4AA95894C9D8AD9DD889A4990ACCD8008C
[18/07/2020|03:36:36] Maaru_Colucci (Aimbot): 8DE0DED8940A4D0FDDEC904C89D44949FE58D84
[18/07/2020|07:02:44] Tecla_Farias (cheatero): 44585E4AA95894C9D8AD9DD889A4990ACCD8008C
[18/07/2020|07:38:31] Curtis_James (cheater): 488E898ED98EC8959A5948FAD9DCFC489C9454D9
[18/07/2020|20:24:26] Luisa_Torres (Pete): EF5DAA9E4AC9CDEE09C9D89D9D0A8D9EC8CEA8CD
[19/07/2020|02:54:56] Cristian_Santos (Uso de WH + Aimbot A casa chitero pete): EEACC9DA0D4E9E5EEFEF55C890489095090DD8AF
[19/07/2020|17:49:43] Maken_Osborn (Estafador.): EEACC9DA0D4E9E5EEFEF55C890489095090DD8AF
[19/07/2020|19:41:47] Santiago_Sanchez (DM Masivo.): 4945DECED9CAE99DC5E9449E00898D8DCEAD5CD4
[20/07/2020|00:29:04] Maken_Osborn (Insultos a staff.): EEACC9DA0D4E9E5EEFEF55C890489095090DD8AF
[20/07/2020|02:13:01] Kiriam_Chas (NoFuel): 84AFEADE8D9D89D4E5D544DDCACEDA489E045EA5
[20/07/2020|07:39:35] Leandro_Zarza (BUGABUSE): CAA48E08DEC044E5FE90F9F89AA99FC4CDEDFAE
[20/07/2020|18:01:58] Ray_Dembow (Toxico): DD849E544445C8CDE448A9ED4DE8D958F944E5D4
[21/07/2020|01:53:38] Italo_Vidovich (No Fuel Hack): CEEECCDDDAA84D8C44CD88A945EFD5EA5A45FC8C
[21/07/2020|03:11:06] Tony_Monta (Speed Hack): 588DFDDFAE009E544AE88489AD40E5CA89E45FEA
[21/07/2020|05:12:23] Juancho_Tazo (nombre troll + evadir rol): 4DC45CD509ED4899D8DC00FC9ED4E54CDC4EE848
[21/07/2020|08:01:39] Gustavo_Lerimonti (spam): AC4CDD95FCCD8C8ED8A54DE44AC0955C0EDC99E5
[21/07/2020|08:02:52] Santiago_Schweiitz (spam): F4EEEEFE809C9AEDFDC5DE84DDA949CCEF94CA4F
[21/07/2020|08:06:12] Jota_Corona (insultar al server): CAA48E08DEC044E5FE90F9F89AA99FC4CDEDFAE
[21/07/2020|21:08:39] Carlos_Betancourt (RC (RepairCar HACK)): CAF48EC5CEAE9CF89DDCA88DED98F99C49840DCD
[21/07/2020|21:15:42] Alejo_Coco (NoFuel.cs): EEACC9DA0D4E9E5EEFEF55C890489095090DD8AF
[21/07/2020|21:17:50] Willintong_Chayan (NoFuel.cs): 54CD8C0E8E8884FEADEE958E585C0EA0D8C99989
[21/07/2020|21:36:14] It_Payaso (Troll): E099EC4CEC9CC05DF54DDCCF49FE485409CF8E4F
[22/07/2020|00:19:36] Italo_Fabrizio (NoFuel.cs): CEEECCDDDAA84D8C44CD88A945EFD5EA5A45FC8C
[22/07/2020|05:15:55] Roman_Lizama (SPAM): 89E8C4A9CEC8D4450F98080C8FCEC9ED4444EC48
[22/07/2020|05:18:00] Marcos_Mercy (CHEATER): 44585E4AA95894C9D8AD9DD889A4990ACCD8008C
[22/07/2020|05:22:07] Emanuel_Diaz (CHEATER): 488E898ED98EC8959A5948FAD9DCFC489C9454D9
[22/07/2020|19:48:08] Teorino_Torres (NoFuel (Cheater)): EEACC9DA0D4E9E5EEFEF55C890489095090DD8AF
[22/07/2020|19:55:30] Italo_Maximo (Cheat para reparar vehículos): CEEECCDDDAA84D8C44CD88A945EFD5EA5A45FC8C
[22/07/2020|23:46:24] Andrew_Wayne (La próxima que me insultes vas perma "rolero" ): 88AEF0DDEDC9C44DF8D8E54F9ADD9885C4D94D90
[23/07/2020|02:41:37] Claudio_Claudiano (cheats): 44585E4AA95894C9D8AD9DD889A4990ACCD8008C
[23/07/2020|13:39:43] Lopes_Pablo (SPAM): CAA48E08DEC044E5FE90F9F89AA99FC4CDEDFAE
[23/07/2020|15:10:10] Max_Blake (cheater (TP+Repaircar)): 8E4FC5CD49DD4AE4EC9A00C8F489EDEC0A48498C
[23/07/2020|19:31:49] Pepito_Cruz (cheater wh (reporte de discord)): F8CF9F4E9DECC554C89CDD05E4FA9C4D48FD08C5
[23/07/2020|21:51:31] Yarmak_Pingote (TK,DM,PG): EEACC9DA0D4E9E5EEFEF55C890489095090DD8AF
[24/07/2020|02:42:50] Santiago_Sanchez (Car Jacking): 4945DECED9CAE99DC5E9449E00898D8DCEAD5CD4
[24/07/2020|02:57:25] Vodka_Beza (Demear verdes): 4C58404A9DD8D5FEE90800CCC0D9C99AA9DFAE84
[24/07/2020|06:27:06] Matute_Flores (1 PG2): CAA48E08DEC044E5FE90F9F89AA99FC4CDEDFAE
[24/07/2020|07:04:32] Facu_Telechea (Aimbot): F8CF9F4E9DECC554C89CDD05E4FA9C4D48FD08C5
[24/07/2020|09:57:56] Camilo_Valencia (a casa cheater): F8CF9F4E9DECC554C89CDD05E4FA9C4D48FD08C5
[25/07/2020|03:26:19] Pablo_Escobarr (MUR fuiste avisado.): EEACC9DA0D4E9E5EEFEF55C890489095090DD8AF
[25/07/2020|12:32:11] Casper_Chorro (bA): CAA48E08DEC044E5FE90F9F89AA99FC4CDEDFAE
[25/07/2020|12:32:13] Alex_Cremento (bA): F8CF9F4E9DECC554C89CDD05E4FA9C4D48FD08C5
